Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify common API,,,2018-12-28 16:04:08,2018-12-28 16:04:34,25.393s,PASSED
,,,,,,
Test Cases/Main Cases/Product Name/API/Chain_API/reqres/TC003_API_reqres_ChainAPI_users_validation_(using Test Data),,,2018-12-28 16:04:09,2018-12-28 16:04:22,13.340s,PASSED
Start listener action : beforeTestCase,,,2018-12-28 16:04:09,2018-12-28 16:04:09,0.239s,PASSED
"responseListUsers = sendRequest(findTestObject(""Web Service Object/Product Name/Chain_API/RESTful/reqres/GET_list_users"", [""URL"":G_reqres_URL, ""page"":page]))",,,2018-12-28 16:04:09,2018-12-28 16:04:18,8.737s,PASSED
"verifyResponseStatusCode(responseListUsers, 200)",,Verify Status Code,2018-12-28 16:04:18,2018-12-28 16:04:18,0.015s,PASSED
"verifyElementPropertyValue(responseListUsers, ""per_page"", per_page)",,Verify response result of users API,2018-12-28 16:04:18,2018-12-28 16:04:21,3.103s,PASSED
"verifyElementPropertyValue(responseListUsers, ""data["" + pos + ""].id"", user_id)",,,2018-12-28 16:04:21,2018-12-28 16:04:21,0.023s,PASSED
"verifyElementPropertyValue(responseListUsers, ""data["" + pos + ""].first_name"", first_name)",,,2018-12-28 16:04:21,2018-12-28 16:04:21,0.028s,PASSED
"verifyElementPropertyValue(responseListUsers, ""data["" + pos + ""].last_name"", last_name)",,,2018-12-28 16:04:21,2018-12-28 16:04:21,0.022s,PASSED
"verifyElementPropertyValue(responseListUsers, ""data["" + pos + ""].avatar"", avatar)",,,2018-12-28 16:04:21,2018-12-28 16:04:21,0.029s,PASSED
"responseUser = sendRequest(findTestObject(""Web Service Object/Product Name/Chain_API/RESTful/reqres/GET_single_user"", [""URL"":G_reqres_URL, ""user_id"":user_id]))",,,2018-12-28 16:04:21,2018-12-28 16:04:22,0.786s,PASSED
"verifyResponseStatusCode(responseUser, 200)",,Verify Status Code,2018-12-28 16:04:22,2018-12-28 16:04:22,0.002s,PASSED
