Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify common API,,,2018-12-26 15:59:37,2018-12-26 15:59:43,6.241s,FAILED
,,,,,,
Test Cases/Main Cases/Product Name/API/Chain_API/reqres/TC003_API_reqres_ChainAPI_users_validation_(using Test Data),,,2018-12-26 15:59:37,2018-12-26 15:59:39,2.275s,FAILED
Start listener action : beforeTestCase,,,2018-12-26 15:59:37,2018-12-26 15:59:37,0.068s,PASSED
"responseListUsers = sendRequest(findTestObject(""Web Service Object/Product Name/Chain_API/RESTful/reqres/GET_list_users"", [""URL"":G_reqres_URL, ""page"":page]))",,,2018-12-26 15:59:38,2018-12-26 15:59:39,1.650s,PASSED
"verifyResponseStatusCode(responseListUsers, 200)",,Verify Status Code,2018-12-26 15:59:39,2018-12-26 15:59:39,0.027s,PASSED
"verifyElementPropertyValue(responseListUsers, ""per_page"", per_page)",,Verify response result of users API,2018-12-26 15:59:39,2018-12-26 15:59:39,0.075s,FAILED
Start listener action : afterTestCase,,,2018-12-26 15:59:39,2018-12-26 15:59:39,0.012s,PASSED
,,,,,,
Test Cases/Main Cases/Product Name/API/Chain_API/reqres/TC002_API_reqres_list_users_validation_(using Test Data),,,2018-12-26 15:59:39,2018-12-26 15:59:40,1.053s,FAILED
Start listener action : beforeTestCase,,,2018-12-26 15:59:39,2018-12-26 15:59:39,0.008s,PASSED
"response = sendRequest(findTestObject(""Web Service Object/Product Name/Chain_API/RESTful/reqres/GET_list_users"", [""URL"":G_reqres_URL, ""page"":page]))",,,2018-12-26 15:59:40,2018-12-26 15:59:40,0.644s,PASSED
"verifyResponseStatusCode(response, 200)",,Verify Status Code,2018-12-26 15:59:40,2018-12-26 15:59:40,0.004s,PASSED
"verifyElementPropertyValue(response, ""per_page"", per_page)",,Verify response result,2018-12-26 15:59:40,2018-12-26 15:59:40,0.043s,FAILED
Start listener action : afterTestCase,,,2018-12-26 15:59:40,2018-12-26 15:59:40,0.010s,PASSED
,,,,,,
Test Cases/Main Cases/Product Name/API/Chain_API/reqres/TC001_API_reqres_list_users_validation_(using Variables),,,2018-12-26 15:59:40,2018-12-26 15:59:41,1.035s,PASSED
Start listener action : beforeTestCase,,,2018-12-26 15:59:40,2018-12-26 15:59:40,0.006s,PASSED
"response = sendRequest(findTestObject(""Web Service Object/Product Name/Chain_API/RESTful/reqres/GET_list_users"", [""URL"":G_reqres_URL, ""page"":page]))",,,2018-12-26 15:59:41,2018-12-26 15:59:41,0.722s,PASSED
"verifyResponseStatusCode(response, 200)",,Verify Status Code,2018-12-26 15:59:41,2018-12-26 15:59:41,0.003s,PASSED
"verifyElementPropertyValue(response, ""per_page"", per_page)",,Verify response result,2018-12-26 15:59:41,2018-12-26 15:59:41,0.039s,PASSED
