Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify common API,,,2018-12-26 16:06:52,2018-12-26 16:07:06,14.332s,PASSED
,,,,,,
Test Cases/Main Cases/Product Name/API/Chain_API/reqres/TC003_API_reqres_ChainAPI_users_validation_(using Test Data),,,2018-12-26 16:06:52,2018-12-26 16:06:55,2.977s,PASSED
Start listener action : beforeTestCase,,,2018-12-26 16:06:52,2018-12-26 16:06:52,0.134s,PASSED
"responseListUsers = sendRequest(findTestObject(""Web Service Object/Product Name/Chain_API/RESTful/reqres/GET_list_users"", [""URL"":G_reqres_URL, ""page"":page]))",,,2018-12-26 16:06:53,2018-12-26 16:06:54,1.594s,PASSED
"verifyResponseStatusCode(responseListUsers, 200)",,Verify Status Code,2018-12-26 16:06:54,2018-12-26 16:06:54,0.020s,PASSED
"verifyElementPropertyValue(responseListUsers, ""per_page"", per_page)",,Verify response result of users API,2018-12-26 16:06:54,2018-12-26 16:06:54,0.065s,PASSED
"verifyElementPropertyValue(responseListUsers, ""data["" + pos + ""].id"", user_id)",,,2018-12-26 16:06:54,2018-12-26 16:06:54,0.024s,PASSED
"verifyElementPropertyValue(responseListUsers, ""data["" + pos + ""].first_name"", first_name)",,,2018-12-26 16:06:54,2018-12-26 16:06:54,0.018s,PASSED
"verifyElementPropertyValue(responseListUsers, ""data["" + pos + ""].last_name"", last_name)",,,2018-12-26 16:06:54,2018-12-26 16:06:54,0.018s,PASSED
"verifyElementPropertyValue(responseListUsers, ""data["" + pos + ""].avatar"", avatar)",,,2018-12-26 16:06:54,2018-12-26 16:06:54,0.023s,PASSED
"responseUser = sendRequest(findTestObject(""Web Service Object/Product Name/Chain_API/RESTful/reqres/GET_single_user"", [""URL"":G_reqres_URL, ""user_id"":user_id]))",,,2018-12-26 16:06:54,2018-12-26 16:06:55,0.671s,PASSED
"verifyResponseStatusCode(responseUser, 200)",,Verify Status Code,2018-12-26 16:06:55,2018-12-26 16:06:55,0.005s,PASSED
"verifyElementPropertyValue(responseUser, ""data.id"", user_id)",,Verify response result of single user API,2018-12-26 16:06:55,2018-12-26 16:06:55,0.040s,PASSED
"verifyElementPropertyValue(responseUser, ""data.first_name"", first_name)",,,2018-12-26 16:06:55,2018-12-26 16:06:55,0.018s,PASSED
"verifyElementPropertyValue(responseUser, ""data.last_name"", last_name)",,,2018-12-26 16:06:55,2018-12-26 16:06:55,0.020s,PASSED
"verifyElementPropertyValue(responseUser, ""data.avatar"", avatar)",,,2018-12-26 16:06:55,2018-12-26 16:06:55,0.024s,PASSED
Start listener action : afterTestCase,,,2018-12-26 16:06:55,2018-12-26 16:06:55,0.010s,PASSED
,,,,,,
Test Cases/Main Cases/Product Name/API/Chain_API/reqres/TC003_API_reqres_ChainAPI_users_validation_(using Test Data),,,2018-12-26 16:06:55,2018-12-26 16:06:57,1.471s,PASSED
Start listener action : beforeTestCase,,,2018-12-26 16:06:55,2018-12-26 16:06:55,0.007s,PASSED
"responseListUsers = sendRequest(findTestObject(""Web Service Object/Product Name/Chain_API/RESTful/reqres/GET_list_users"", [""URL"":G_reqres_URL, ""page"":page]))",,,2018-12-26 16:06:55,2018-12-26 16:06:56,0.640s,PASSED
"verifyResponseStatusCode(responseListUsers, 200)",,Verify Status Code,2018-12-26 16:06:56,2018-12-26 16:06:56,0.001s,PASSED
"verifyElementPropertyValue(responseListUsers, ""per_page"", per_page)",,Verify response result of users API,2018-12-26 16:06:56,2018-12-26 16:06:56,0.025s,PASSED
"verifyElementPropertyValue(responseListUsers, ""data["" + pos + ""].id"", user_id)",,,2018-12-26 16:06:56,2018-12-26 16:06:56,0.022s,PASSED
"verifyElementPropertyValue(responseListUsers, ""data["" + pos + ""].first_name"", first_name)",,,2018-12-26 16:06:56,2018-12-26 16:06:56,0.023s,PASSED
"verifyElementPropertyValue(responseListUsers, ""data["" + pos + ""].last_name"", last_name)",,,2018-12-26 16:06:56,2018-12-26 16:06:56,0.022s,PASSED
"verifyElementPropertyValue(responseListUsers, ""data["" + pos + ""].avatar"", avatar)",,,2018-12-26 16:06:56,2018-12-26 16:06:56,0.023s,PASSED
"responseUser = sendRequest(findTestObject(""Web Service Object/Product Name/Chain_API/RESTful/reqres/GET_single_user"", [""URL"":G_reqres_URL, ""user_id"":user_id]))",,,2018-12-26 16:06:56,2018-12-26 16:06:57,0.615s,PASSED
"verifyResponseStatusCode(responseUser, 200)",,Verify Status Code,2018-12-26 16:06:57,2018-12-26 16:06:57,0.001s,PASSED
"verifyElementPropertyValue(responseUser, ""data.id"", user_id)",,Verify response result of single user API,2018-12-26 16:06:57,2018-12-26 16:06:57,0.014s,PASSED
"verifyElementPropertyValue(responseUser, ""data.first_name"", first_name)",,,2018-12-26 16:06:57,2018-12-26 16:06:57,0.015s,PASSED
"verifyElementPropertyValue(responseUser, ""data.last_name"", last_name)",,,2018-12-26 16:06:57,2018-12-26 16:06:57,0.019s,PASSED
"verifyElementPropertyValue(responseUser, ""data.avatar"", avatar)",,,2018-12-26 16:06:57,2018-12-26 16:06:57,0.018s,PASSED
Start listener action : afterTestCase,,,2018-12-26 16:06:57,2018-12-26 16:06:57,0.007s,PASSED
,,,,,,
Test Cases/Main Cases/Product Name/API/Chain_API/reqres/TC003_API_reqres_ChainAPI_users_validation_(using Test Data),,,2018-12-26 16:06:57,2018-12-26 16:06:58,1.538s,PASSED
Start listener action : beforeTestCase,,,2018-12-26 16:06:57,2018-12-26 16:06:57,0.007s,PASSED
"responseListUsers = sendRequest(findTestObject(""Web Service Object/Product Name/Chain_API/RESTful/reqres/GET_list_users"", [""URL"":G_reqres_URL, ""page"":page]))",,,2018-12-26 16:06:57,2018-12-26 16:06:57,0.686s,PASSED
"verifyResponseStatusCode(responseListUsers, 200)",,Verify Status Code,2018-12-26 16:06:57,2018-12-26 16:06:57,0.001s,PASSED
"verifyElementPropertyValue(responseListUsers, ""per_page"", per_page)",,Verify response result of users API,2018-12-26 16:06:57,2018-12-26 16:06:57,0.015s,PASSED
"verifyElementPropertyValue(responseListUsers, ""data["" + pos + ""].id"", user_id)",,,2018-12-26 16:06:57,2018-12-26 16:06:57,0.015s,PASSED
"verifyElementPropertyValue(responseListUsers, ""data["" + pos + ""].first_name"", first_name)",,,2018-12-26 16:06:57,2018-12-26 16:06:57,0.025s,PASSED
"verifyElementPropertyValue(responseListUsers, ""data["" + pos + ""].last_name"", last_name)",,,2018-12-26 16:06:57,2018-12-26 16:06:57,0.022s,PASSED
"verifyElementPropertyValue(responseListUsers, ""data["" + pos + ""].avatar"", avatar)",,,2018-12-26 16:06:57,2018-12-26 16:06:57,0.021s,PASSED
"responseUser = sendRequest(findTestObject(""Web Service Object/Product Name/Chain_API/RESTful/reqres/GET_single_user"", [""URL"":G_reqres_URL, ""user_id"":user_id]))",,,2018-12-26 16:06:57,2018-12-26 16:06:58,0.643s,PASSED
"verifyResponseStatusCode(responseUser, 200)",,Verify Status Code,2018-12-26 16:06:58,2018-12-26 16:06:58,0.001s,PASSED
