Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify common API,,,2018-12-19 17:11:38,2018-12-19 17:11:44,5.961s,FAILED
,,,,,,
Test Cases/Main Cases/Product Name/API/reqres/TC003_API_reqres_ChainAPI_users_validation_(using Test Data),,,2018-12-19 17:11:38,2018-12-19 17:11:41,2.642s,PASSED
Start listener action : beforeTestCase,,,2018-12-19 17:11:38,2018-12-19 17:11:38,0.021s,PASSED
"Statement - responseListUsers = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Web Service Object/Product Name/Chain_API/RESTful/reqres/GET_list_users, [URL:internal.GlobalVariable.G_reqres_URL, page:page]))",,,2018-12-19 17:11:39,2018-12-19 17:11:40,1.534s,PASSED
verifyResponseStatusCode,,Verify Status Code,2018-12-19 17:11:40,2018-12-19 17:11:40,0.029s,PASSED
verifyElementPropertyValue,,Verify response result of users API,2018-12-19 17:11:40,2018-12-19 17:11:40,0.074s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:11:40,2018-12-19 17:11:40,0.020s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:11:40,2018-12-19 17:11:40,0.020s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:11:40,2018-12-19 17:11:40,0.021s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:11:40,2018-12-19 17:11:40,0.020s,PASSED
"Statement - responseUser = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Web Service Object/Product Name/Chain_API/RESTful/reqres/GET_single_user, [URL:https://reqres.in, user_id:1]))",,,2018-12-19 17:11:40,2018-12-19 17:11:41,0.583s,PASSED
verifyResponseStatusCode,,Verify Status Code,2018-12-19 17:11:41,2018-12-19 17:11:41,0.007s,PASSED
verifyElementPropertyValue,,Verify response result of single user API,2018-12-19 17:11:41,2018-12-19 17:11:41,0.026s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:11:41,2018-12-19 17:11:41,0.017s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:11:41,2018-12-19 17:11:41,0.014s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:11:41,2018-12-19 17:11:41,0.014s,PASSED
Start listener action : afterTestCase,,,2018-12-19 17:11:41,2018-12-19 17:11:41,0.000s,PASSED
,,,,,,
Test Cases/Main Cases/Product Name/API/reqres/TC003_API_reqres_ChainAPI_users_validation_(using Test Data),,,2018-12-19 17:11:41,2018-12-19 17:11:42,1.454s,FAILED
Start listener action : beforeTestCase,,,2018-12-19 17:11:41,2018-12-19 17:11:41,0.001s,PASSED
"Statement - responseListUsers = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Web Service Object/Product Name/Chain_API/RESTful/reqres/GET_list_users, [URL:internal.GlobalVariable.G_reqres_URL, page:page]))",,,2018-12-19 17:11:41,2018-12-19 17:11:42,0.639s,PASSED
verifyResponseStatusCode,,Verify Status Code,2018-12-19 17:11:42,2018-12-19 17:11:42,0.004s,PASSED
verifyElementPropertyValue,,Verify response result of users API,2018-12-19 17:11:42,2018-12-19 17:11:42,0.043s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:11:42,2018-12-19 17:11:42,0.019s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:11:42,2018-12-19 17:11:42,0.013s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:11:42,2018-12-19 17:11:42,0.014s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:11:42,2018-12-19 17:11:42,0.014s,PASSED
"Statement - responseUser = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Web Service Object/Product Name/Chain_API/RESTful/reqres/GET_single_user, [URL:https://reqres.in, user_id:1]))",,,2018-12-19 17:11:42,2018-12-19 17:11:42,0.630s,PASSED
verifyResponseStatusCode,,Verify Status Code,2018-12-19 17:11:42,2018-12-19 17:11:42,0.005s,PASSED
verifyElementPropertyValue,,Verify response result of single user API,2018-12-19 17:11:42,2018-12-19 17:11:42,0.047s,FAILED
Start listener action : afterTestCase,,,2018-12-19 17:11:42,2018-12-19 17:11:42,0.001s,PASSED
,,,,,,
Test Cases/Main Cases/Product Name/API/reqres/TC003_API_reqres_ChainAPI_users_validation_(using Test Data),,,2018-12-19 17:11:42,2018-12-19 17:11:44,1.399s,FAILED
Start listener action : beforeTestCase,,,2018-12-19 17:11:43,2018-12-19 17:11:43,0.000s,PASSED
"Statement - responseListUsers = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Web Service Object/Product Name/Chain_API/RESTful/reqres/GET_list_users, [URL:internal.GlobalVariable.G_reqres_URL, page:page]))",,,2018-12-19 17:11:43,2018-12-19 17:11:43,0.596s,PASSED
verifyResponseStatusCode,,Verify Status Code,2018-12-19 17:11:43,2018-12-19 17:11:43,0.003s,PASSED
verifyElementPropertyValue,,Verify response result of users API,2018-12-19 17:11:43,2018-12-19 17:11:43,0.031s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:11:43,2018-12-19 17:11:43,0.020s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:11:43,2018-12-19 17:11:43,0.017s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:11:43,2018-12-19 17:11:43,0.014s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:11:43,2018-12-19 17:11:43,0.014s,PASSED
"Statement - responseUser = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Web Service Object/Product Name/Chain_API/RESTful/reqres/GET_single_user, [URL:https://reqres.in, user_id:1]))",,,2018-12-19 17:11:43,2018-12-19 17:11:44,0.637s,PASSED
verifyResponseStatusCode,,Verify Status Code,2018-12-19 17:11:44,2018-12-19 17:11:44,0.004s,PASSED
verifyElementPropertyValue,,Verify response result of single user API,2018-12-19 17:11:44,2018-12-19 17:11:44,0.043s,FAILED
Start listener action : afterTestCase,,,2018-12-19 17:11:44,2018-12-19 17:11:44,0.001s,PASSED
