Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify common API,,,2018-12-19 17:20:22,2018-12-19 17:20:31,9.294s,FAILED
,,,,,,
Test Cases/Main Cases/Product Name/API/reqres/TC001_API_reqres_list_users_validation_(using Variables),,,2018-12-19 17:20:23,2018-12-19 17:20:25,2.616s,PASSED
Start listener action : beforeTestCase,,,2018-12-19 17:20:23,2018-12-19 17:20:23,0.022s,PASSED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Web Service Object/Product Name/Chain_API/RESTful/reqres/GET_list_users, [URL:internal.GlobalVariable.G_reqres_URL, page:page]))",,,2018-12-19 17:20:23,2018-12-19 17:20:25,1.838s,PASSED
verifyResponseStatusCode,,Verify Status Code,2018-12-19 17:20:25,2018-12-19 17:20:25,0.013s,PASSED
verifyElementPropertyValue,,Verify response result,2018-12-19 17:20:25,2018-12-19 17:20:25,0.052s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:20:25,2018-12-19 17:20:25,0.018s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:20:25,2018-12-19 17:20:25,0.016s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:20:25,2018-12-19 17:20:25,0.020s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:20:25,2018-12-19 17:20:25,0.017s,PASSED
Start listener action : afterTestCase,,,2018-12-19 17:20:25,2018-12-19 17:20:25,0.001s,PASSED
,,,,,,
Test Cases/Main Cases/Product Name/API/reqres/TC002_API_reqres_list_users_validation_(using Test Data),,,2018-12-19 17:20:25,2018-12-19 17:20:26,0.944s,PASSED
Start listener action : beforeTestCase,,,2018-12-19 17:20:25,2018-12-19 17:20:25,0.001s,PASSED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Web Service Object/Product Name/Chain_API/RESTful/reqres/GET_list_users, [URL:internal.GlobalVariable.G_reqres_URL, page:page]))",,,2018-12-19 17:20:25,2018-12-19 17:20:26,0.661s,PASSED
verifyResponseStatusCode,,Verify Status Code,2018-12-19 17:20:26,2018-12-19 17:20:26,0.007s,PASSED
verifyElementPropertyValue,,Verify response result,2018-12-19 17:20:26,2018-12-19 17:20:26,0.034s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:20:26,2018-12-19 17:20:26,0.020s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:20:26,2018-12-19 17:20:26,0.015s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:20:26,2018-12-19 17:20:26,0.014s,PASSED
verifyElementPropertyValue,,,2018-12-19 17:20:26,2018-12-19 17:20:26,0.013s,PASSED
Start listener action : afterTestCase,,,2018-12-19 17:20:26,2018-12-19 17:20:26,0.001s,PASSED
,,,,,,
Test Cases/Main Cases/Product Name/API/reqres/TC002_API_reqres_list_users_validation_(using Test Data),,,2018-12-19 17:20:26,2018-12-19 17:20:27,0.727s,PASSED
Start listener action : beforeTestCase,,,2018-12-19 17:20:26,2018-12-19 17:20:26,0.000s,PASSED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Web Service Object/Product Name/Chain_API/RESTful/reqres/GET_list_users, [URL:internal.GlobalVariable.G_reqres_URL, page:page]))",,,2018-12-19 17:20:26,2018-12-19 17:20:27,0.604s,PASSED
